Name;Total_Trav;Total_Leng;Shape_Leng;Origin;Dest;Time
1001 - 5937;112.0056590251365;8960.452722010925;6310.632772344109;1001;5937;0:00:00
1001 - 1201;112.80201961155687;9024.161568924546;7480.030980468841;1001;1201;0:00:00
1001 - 5973;113.61376644907568;9089.101315926056;6823.164392685737;1001;5973;0:00:00
1001 - 5544;113.68759827669977;9095.007862135984;7357.368102607616;1001;5544;0:00:00
1001 - 5620;113.82612524458628;9106.0900195669;6906.395036509341;1001;5620;0:00:00
1001 - 5619;114.67462526667208;9173.97002133377;6635.066604351989;1001;5619;0:00:00
1001 - 5939;114.96712831303188;9197.370265042553;6680.316266795793;1001;5939;0:00:00
1001 - 1902;115.18124139577364;9214.499311661888;7010.3871523241405;1001;1902;0:00:00
1001 - 5975;116.20335105462458;9296.268084369969;6553.195249177796;1001;5975;0:00:00
1001 - 1125;116.67635931682663;9334.108745346126;6946.498081779764;1001;1125;0:00:00
1001 - 5903;117.8648698024218;9429.189584193748;6638.058309622133;1001;5903;0:00:00
1001 - 5932;118.03102074279569;9442.48165942366;6976.511665559503;1001;5932;0:00:00
1001 - 5609;118.03817910238728;9443.054328190983;7625.957374130388;1001;5609;0:00:00
1001 - 5972;118.08064024849014;9446.451219879216;7097.0332520466445;1001;5972;0:00:00
1001 - 5971;118.58922613924764;9487.138091139816;6605.792067815969;1001;5971;0:00:00
1001 - 2005;118.82545604749292;9506.036483799426;7339.142233405318;1001;2005;0:00:00
1001 - 5970;118.9392259001054;9515.138072008434;7128.39376340085;1001;5970;0:00:00
1001 - 5968;118.94173976879783;9515.339181503832;6943.770398173006;1001;5968;0:00:00
1001 - 5608;119.04025746371923;9523.220597097534;7901.486189309238;1001;5608;0:00:00
1001 - 5976;121.05649819894064;9684.519855915252;7075.995244947795;1001;5976;0:00:00
1001 - 4405;121.19686067221396;9695.748853777119;6937.834730674112;1001;4405;0:00:00
1001 - 5974;121.41575414186407;9713.260331349122;6904.796921262968;1001;5974;0:00:00
1001 - 4407;121.50216904585925;9720.173523668738;8894.986765456757;1001;4407;0:00:00
1001 - 4406;121.63196031378557;9730.556825102847;7903.445100085857;1001;4406;0:00:00
1001 - 1105;122.00068806835628;9760.055045468504;7130.794552190646;1001;1105;0:00:00
1001 - 5627;122.86297273921326;9829.037819137058;8652.42283295769;1001;5627;0:00:00
1001 - 1123;123.21946661432236;9857.557329145793;7272.779637184876;1001;1123;0:00:00
1001 - 1124;123.46287710247286;9877.030168197825;7427.455795859142;1001;1124;0:00:00
1001 - 1901;123.78947596920908;9903.158077536724;7765.947476232732;1001;1901;0:00:00
1001 - 2116;123.86937555727772;9909.550044582218;7641.228412379294;1001;2116;0:00:00
1001 - 5911;124.05536650942464;9924.429320753974;7818.579157799469;1001;5911;0:00:00
1001 - 5605;124.0622668441706;9924.981347533647;6686.851233287353;1001;5605;0:00:00
1001 - 5987;124.79163130650149;9983.33050452012;8539.874551059178;1001;5987;0:00:00
1001 - 5606;124.86078978187844;9988.863182550273;7689.171655699386;1001;5606;0:00:00
1001 - 5906;125.52438372897555;10041.95069831805;7433.979837209377;1001;5906;0:00:00
1001 - 5977;125.62826640296456;10050.261312237168;7388.165372018712;1001;5977;0:00:00
1001 - 1210;125.67792125748258;10054.233700598606;7939.720436502194;1001;1210;0:00:00
1001 - 5915;125.78146487425957;10062.51718994077;7298.3193017720505;1001;5915;0:00:00
1001 - 5967;125.81968808066824;10065.57504645346;7459.954618462589;1001;5967;0:00:00
1001 - 2108;125.99126775626296;10079.30142050103;7672.798250683096;1001;2108;0:00:00
1001 - 4408;126.14722591995415;10091.778073596332;8761.635686374919;1001;4408;0:00:00
1001 - 5201;126.20541863685536;10096.43349094843;8451.857602323731;1001;5201;0:00:00
1001 - 1102;126.66639566267263;10133.311653013814;7454.753212107293;1001;1102;0:00:00
1001 - 2023;126.80188227024635;10144.15058161971;8038.697761117924;1001;2023;0:00:00
1001 - 5978;127.81956613206057;10225.56529056485;6938.68528697102;1001;5978;0:00:00
1001 - 5958;127.98760434254885;10239.008347403917;7561.169885932082;1001;5958;0:00:00
1001 - 5924;128.2208388067195;10257.667104537562;7806.723454690727;1001;5924;0:00:00
